id: 351, nationality: Taiwan, gender: 0, preferences: ['I', 'G', 'C']
id: 537, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'I']
id: 519, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']

id: 515, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'I']
id: 487, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 471, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 462, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'E']

id: 456, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 449, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 438, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'I']
id: 431, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'I']

id: 421, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'C']
id: 420, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'S']
id: 405, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
id: 395, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']

id: 389, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 377, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'C']
id: 375, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 374, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'E']

id: 372, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'I']
id: 365, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'I']
id: 358, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'G']
id: 357, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'I']

id: 356, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 337, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'S']
id: 330, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
id: 323, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'S']

id: 321, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 307, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 301, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 297, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'G']

id: 296, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 288, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 283, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 282, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']

id: 281, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'G']
id: 278, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'I']
id: 275, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 274, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']

id: 266, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 241, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 237, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 235, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']

id: 234, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'S']
id: 212, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'G']
id: 206, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 201, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'C']

id: 701, nationality: Taiwan, gender: 0, preferences: ['E', 'H', 'C']
id: 674, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'I']
id: 646, nationality: Taiwan, gender: 0, preferences: ['E', 'H', 'I']
id: 623, nationality: Taiwan, gender: 0, preferences: ['E', 'G', 'S']

id: 614, nationality: Taiwan, gender: 0, preferences: ['E', 'I', 'G']
id: 555, nationality: Taiwan, gender: 0, preferences: ['E', 'I', 'G']
id: 526, nationality: Taiwan, gender: 0, preferences: ['E', 'S', 'G']
id: 521, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'H']

id: 479, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'S']
id: 467, nationality: Taiwan, gender: 0, preferences: ['E', 'S', 'G']
id: 418, nationality: Taiwan, gender: 0, preferences: ['E', 'S', 'C']
id: 402, nationality: Taiwan, gender: 0, preferences: ['E', 'G', 'C']

id: 394, nationality: Taiwan, gender: 0, preferences: ['E', 'H', 'C']
id: 345, nationality: Taiwan, gender: 0, preferences: ['E', 'G', 'I']
id: 318, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'G']
id: 311, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'H']

id: 305, nationality: Taiwan, gender: 0, preferences: ['E', 'H', 'C']
id: 286, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'I']
id: 245, nationality: Taiwan, gender: 0, preferences: ['E', 'C', 'G']
id: 242, nationality: Taiwan, gender: 0, preferences: ['E', 'I', 'G']

id: 697, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']
id: 682, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 670, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 664, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']

id: 656, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'G']
id: 653, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'G']
id: 652, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 650, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']

id: 641, nationality: Taiwan, gender: 0, preferences: ['C', 'E', 'G']
id: 636, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 635, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'E']
id: 632, nationality: Taiwan, gender: 0, preferences: ['C', 'E', 'S']

id: 626, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'E']
id: 621, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']
id: 613, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']
id: 607, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'G']

id: 603, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 599, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'G']
id: 593, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 590, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']

id: 589, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 583, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 581, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 576, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'S']

id: 570, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'H']
id: 540, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 534, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 522, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']

id: 508, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 500, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 492, nationality: Taiwan, gender: 0, preferences: ['C', 'E', 'G']
id: 490, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']

id: 484, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 482, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 481, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 468, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']

id: 464, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 457, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'E']
id: 448, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']
id: 442, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']

id: 437, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'I']
id: 432, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 430, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'G']
id: 429, nationality: Taiwan, gender: 0, preferences: ['C', 'E', 'G']

id: 426, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 416, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'E']
id: 407, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']
id: 403, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'G']

id: 399, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'H']
id: 392, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 388, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'H']
id: 383, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']

id: 381, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'S']
id: 371, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 352, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']
id: 346, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'G']

id: 336, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 329, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'E']
id: 328, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 322, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']

id: 308, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']
id: 303, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'S']
id: 298, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 293, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'I']

id: 287, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 279, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 276, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'G']
id: 270, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']

id: 268, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'G']
id: 264, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'H']
id: 262, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'G']
id: 256, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'H']

id: 243, nationality: Taiwan, gender: 0, preferences: ['C', 'S', 'H']
id: 231, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']
id: 230, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 229, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'S']

id: 226, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 225, nationality: Taiwan, gender: 0, preferences: ['C', 'E', 'G']
id: 218, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 208, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']

id: 203, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'G']
id: 200, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'H']
id: 198, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'G']
id: 196, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']

id: 41, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'I']
id: 39, nationality: Taiwan, gender: 0, preferences: ['C', 'I', 'S']
id: 34, nationality: Taiwan, gender: 0, preferences: ['C', 'G', 'S']
id: 24, nationality: Taiwan, gender: 0, preferences: ['C', 'H', 'I']

id: 707, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 705, nationality: Taiwan, gender: 0, preferences: ['S', 'H', 'I']
id: 702, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']
id: 699, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']

id: 696, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 689, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 688, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 671, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']

id: 665, nationality: Taiwan, gender: 0, preferences: ['S', 'H', 'I']
id: 662, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 655, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 634, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'H']

id: 633, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 625, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 595, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 587, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'H']

id: 575, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'I']
id: 572, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 571, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 563, nationality: Taiwan, gender: 0, preferences: ['S', 'H', 'C']

id: 562, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'I']
id: 545, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 529, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 520, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']

id: 514, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 499, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 498, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 494, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']

id: 493, nationality: Taiwan, gender: 0, preferences: ['S', 'H', 'C']
id: 489, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'I']
id: 486, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']
id: 474, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'I']

id: 469, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 459, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 455, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 453, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']

id: 451, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']
id: 441, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 440, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'E']
id: 414, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']

id: 409, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 400, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'H']
id: 386, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 382, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'I']

id: 376, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 373, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 369, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 367, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']

id: 363, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 361, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'E']
id: 315, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 314, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']

id: 309, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 285, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 261, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 249, nationality: Taiwan, gender: 0, preferences: ['S', 'H', 'C']

id: 247, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']
id: 246, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 239, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 217, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']

id: 211, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'G']
id: 209, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'C']
id: 207, nationality: Taiwan, gender: 0, preferences: ['S', 'I', 'G']
id: 202, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'I']

id: 199, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']
id: 197, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'E']
id: 37, nationality: Taiwan, gender: 0, preferences: ['S', 'G', 'C']
id: 30, nationality: Taiwan, gender: 0, preferences: ['S', 'C', 'H']

id: 706, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']
id: 700, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']
id: 698, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 695, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'C']

id: 694, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 693, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'I']
id: 690, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'H']
id: 687, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']

id: 685, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 684, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'I']
id: 683, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'H']
id: 681, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']

id: 680, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'C']
id: 677, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
id: 675, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'C']
id: 673, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']

id: 672, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 668, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 667, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 660, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'E']

id: 659, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 654, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 651, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 647, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']

id: 645, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'E']
id: 643, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 638, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'E']
id: 637, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']

id: 631, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'E']
id: 630, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 628, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'G']
id: 622, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']

id: 620, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'C']
id: 619, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']
id: 618, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 617, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'I']

id: 616, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']
id: 615, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']
id: 611, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'C']
id: 606, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'S']

id: 602, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 601, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'I']
id: 600, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
id: 597, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'I']

id: 592, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 588, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'C']
id: 586, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']
id: 585, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'G']

id: 584, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 582, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 580, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 577, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']

id: 574, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 573, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 568, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
id: 567, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']

id: 565, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'E']
id: 561, nationality: Taiwan, gender: 0, preferences: ['G', 'E', 'S']
id: 559, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'G']
id: 557, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']

id: 556, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']
id: 554, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 553, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'I']
id: 551, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']

id: 547, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 544, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
id: 543, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'G']
id: 541, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']

id: 538, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'I']
id: 536, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']
id: 535, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 532, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']

id: 531, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'C']
id: 527, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']
id: 525, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'E']
id: 524, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']

id: 517, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'C']
id: 516, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'H']
id: 512, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']
id: 511, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']

id: 510, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']
id: 507, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'H']
id: 506, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 505, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']

id: 503, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'I']
id: 502, nationality: Taiwan, gender: 0, preferences: ['G', 'S', 'H']
id: 501, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 497, nationality: Taiwan, gender: 0, preferences: ['G', 'G', 'G']

id: 496, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'I']
id: 495, nationality: Taiwan, gender: 0, preferences: ['G', 'I', 'S']
id: 491, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
id: 485, nationality: Taiwan, gender: 0, preferences: ['G', 'C', 'S']

id: 480, nationality: Taiwan, gender: 0, preferences: ['G', 'H', 'C']
